,seller_state,customer_state,total_order,product_weight_g,product_square_cm,price,freight_value,avg_shipping_fee,shipping_fee_1000cm,shipping_fee_100g
33,RJ,MG,608,760459.0,6037798.0,105800.71,11193.38,18.41016447368421,1.8538844790766436,1.4719241931517675
34,MG,BA,405,1001907.0,5195400.0,44572.76,10757.62,26.562024691358026,2.070604765754321,1.073714426588496
35,MG,PR,403,956320.0,5465689.0,45851.42,10233.04,25.392158808933004,1.8722323937567618,1.0700435000836541
36,MG,RS,302,691390.0,4040590.0,34542.19,9733.85,32.23129139072848,2.4090169999925752,1.4078667611622964
37,SP,AL,270,527931.0,3977465.0,41278.37,9314.1,34.49666666666667,2.341717651820946,1.7642646482210744
38,SP,SE,237,607108.0,4496956.0,33451.08,9045.02,38.16464135021097,2.0113650211387437,1.4898535351206046
39,PR,SC,440,799280.0,6185035.0,58007.19,8957.56,20.358090909090908,1.4482634293904562,1.120703633269943
40,SP,TO,223,586116.0,4155082.0,35289.89,8429.79,37.80174887892377,2.0287902862085514,1.4382460127346806
41,MG,SC,276,907376.0,4830108.0,34602.92,8132.34,29.465,1.683676638286349,0.8962480823826067
42,SP,RO,191,514864.0,3144459.0,25854.13,7722.26,40.43068062827225,2.45583103484574,1.4998640417663693
43,RS,RJ,262,559549.0,5247614.0,49156.86,7417.88,28.312519083969466,1.4135719586082363,1.3256890817426177
44,PR,BA,163,441776.0,3200634.0,33918.41,7310.08,44.84711656441718,2.2839474929029686,1.6547028358263012
45,SC,RS,318,782157.0,5054975.0,45118.34,7167.93,22.540660377358492,1.4179951433983353,0.91643110014997
46,SC,PR,321,838570.0,5674178.0,42832.26,7034.19,21.913364485981308,1.2396844089135024,0.8388315823365968
47,DF,SP,328,364301.0,3116630.0,35160.04,6376.67,19.441067073170732,2.046014445089728,1.750384983845776
48,RS,MG,211,428132.0,4059613.0,41695.0,6214.65,29.453317535545022,1.5308478911659806,1.4515733465379834
49,BA,SP,150,246023.0,1760467.0,72683.64,5138.31,34.2554,2.9187198624001476,2.088548631632002
50,SC,SC,297,888629.0,5874413.0,46117.01,5107.36,17.196498316498314,0.8694247408209126,0.5747460413738467
51,MG,ES,199,537695.0,2372331.0,20398.84,5068.49,25.469798994974873,2.1365020311246616,0.9426329052715757
52,RS,RS,313,727667.0,5711068.0,55134.07,5044.9,16.117891373801914,0.8833549171538492,0.693297895878197
53,PR,DF,175,304376.0,2319427.0,27497.75,4998.35,28.562,2.1549934531244137,1.6421629826267512
54,MG,GO,165,457077.0,2439654.0,19017.51,4842.94,29.351151515151514,1.9850929681012142,1.0595457658118872
55,MG,DF,215,477383.0,2901956.0,31684.05,4777.39,22.220418604651165,1.6462654843836366,1.000745732462195
